Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
kachay,to mend,v.tr.(2),zurcir,,,
kachaykamuy,to make come,v.tr.,hacer venir,,,
kachaykukuy,to set off; to be on one's way; to go there finally; to run,v.intr.,ponerse en camino; estar en camino; ir allá definitivamente; partir inesperadamente; irse con decisión y rapidez,,,
kachaykuqrusqa,abandoned,p.p.p.,abandonado,,,
kachaykuy,to release; to let go; to throw away (worn things); to send; to send down,v.tr.(1),soltar; poner en libertad; echar fuera (cosas desgastadas); lanzar a uno a pelear o competir; disparar; balear; desamarrar,,,
kachaykuy,to leave; to abandon; to let; to leave alone; to allow; to abandon,v.tr.(2),dejar; abandonar; desechar; permitir; abandonar; consentir,,,jithaña; jitaña
kachaypariy,to dismiss; to release,v.tr.,despedir; despachar; soltar,,,
kachi,salty,adj.,salado,,,jayu
kachi,salt,s.(min),sal,kachi,kachi,jayu; qayu
kachichasqa,salted; salty,p.p.p.,salado,,,k'ara jayuchata
kachichay,to form crystals (salt),v.intr.,cristalizar; cuajarse la sal,,,
kachichay,to salt,v.tr.,salar; echar sal; echar sal,,,
kachichiy,to salt,v.tr.,salar,,,
kachi churana,salt-shaker; salt shaker,s.(1),salero,kachi churana,kachi churana,
kachichurana,salt-shaker,s.(2),salero,,,
kachilu,kind of clearly singing bird,s.(zoo),una variedad de pájaro de silbido agudo (d.a.b.),,,
kachimasu,pestle of salt used to grind (and salt at the same time),s.(p.esp),sal labrada en forma de un mazo que sirve para moler; muy especial se usa para hacer tacacho,,,
Kachi Mayu,river in the province of Santiago del Estero (Argentina); (Span.) Río Salado,s.(top),"Río Salado (en la provincia de Santiago del Estero, Argentina)",,,
kachinchay,to salt,v.tr.,salar; sazonar,,,jayunchaña
kachinnaq,without salt,adj.,sin sal,,,
kachipurawa,borage,s.(bot),borraja,,,
kachi putu,salt-shaker; salt shaker,s.,salero,,,
kachiqhuya,salt mine,s.,mina de sal; saladar,,,
kachisapa,salted,adj.,salado,kachisapa,kachisapa,
kachita,repetition; narrow stripes bordering wider ones,s.(tex),repetición; tiras estrechas al lado de más amplias,,,
kachiy,to make something be,v.tr.(1),hacer que una cosa sea o exista,,,
kachiy,to salt,v.tr.(2),salar; poner sal,,,
kachiyasqa,salted; salty,p.p.p.,salado,kachiyasqa,kachiyasqa,
kachiyay,to crystallize,v.intr.,cristalizar; cuajarse la sal,,,ch'uwaptayaña
kachiyuq,salty,adj.,salado,,,
kachiyuq,derivarion,s.p.,derivación,,,
kachiyuq gallita,salty cracker,s.(p.esp),pastelería salada,,,
kachka,so much; so many,adj.,tánto; tán; tanto,,,
kachka,young corn cob,s.,choclo tierno,,,
kachkachyay,shivering,s.,escalofrío,,,
kachkachyay,to rattle; to rumble; to clatter; to gnash one's teeth; to play castanets,v.intr.,castañetear; rechinar (los dientes); tiritar,,,
kachkan,is now,expr.,está,,,
kachkani,existence,s.(ass),existencia,,,
kachkay,evidence; reality,s.,evidencia; realidad,kashay,kashay,
kachkay,to be now,v.aux.,estar (ahora); estar; existir,kashay,kashay,ukankaña
kachkay,to knibble; to gnaw; to eat corn cobs without taking the grain off,v.tr.(1),mordisquear; roer; comer choclo sin desgranar,,,
kachkay,to light; to set fire to,v.tr.(2),encender,,,
kachu,cattle horn used for instrument,s.,cuerno de ganado usado como instrumento,kachu,,waxra
kachucha,peaked cap,s.,gorra con visera,,,
kachun,it be; he be; she be; should be,expr.,sea; se haga; se realice; se cumpla,,,
kachuna,jaw,s.(ana),quijada; mandíbula; quijada,,,
kachuy,to twist,v.tr.,torcer,,,
kada,each,adj.(esp),cada,,,
kadunu,everyone,pron.indef.(esp),cada uno,,,
kafiy,brown (like coffee),adj.(esp),color café,,,
kafiy,coffee; kind of plant of the jungle (main use: food),s.(bot)(esp),café; especie de planta de la selva (uso principal: alimento),,,
kafiy,coffee,s.(esp),café,kafiy,kafiy,
kaha,case,s.(esp),caja,,,kaja
kaha,base drum,s.(mus),tambor para jula jula; bombo,,,
kahita,drum; case,s.,tambor; caja,,,
kahun,coffin,s.,ataúd,,,
ka ka,"here, take this",expr.,"aquí, coge eso",,,
kaka,maternal uncle,s.(fam),tío materno; tío; hermano de la madre; hermano de madre; expresión con que se intimida a un niño para que no coma,kaka,kaka,
kaka,father-in-law of the man,s.(fam)(2),suegro del hombre,kaka,kaka,
kaka kuyllin,ivory-billed aracari; kind of bird,s.(zoo),arasarí picomarfil; arasarí de azara; especie de ave,,,
kakanchik,prehispanic deity of NW Argentina; god of storm and hurricane,s.(mit),deidad prehispánica del NOA; dios de la tormenta y el huracán,,,
kaka unku,"beard lichen; kind of epiphytic lichen, all used to dye yellow",s.(bot),caca uncu; liquen barbado; especie de liquen epifítico usado entero para teñir de amarillo,kaka unku,,
kakaw,cocoa; kind of plant of the jungle (main use: food),s.(bot)(esp),"cacao; especie de planta de la selva (uso principal: alimento); cacao. Ya es ampliamente conocido el empleo de su semilla para la elaboración de chocolates y cocoas. La manteca que produce se emplea satisfactoriamente en labios resecos y cuarteados, ciaticas, lumbagos, hemorroides y dolores musculares. Arbol de cultivo. Hay una especie selvatica, llamada macambo (T.quinquenerva, Bern.), aprovechada por los indmgenas como fruta y medicinal",,,
kakawa k'aspi,cocoa (tree),s.(bot)(p.esp<naw),cacao (árbol),kakawa k'aspi,kakawa k'aspi,
kakay,to excrete; to shit; to defecate,v.tr.(1),cagar,,,
kakay,to cut the neck of a chicken just killed,v.tr.(2),degollar gallina recientemente matada,,,
kakchi,small dog of no race,s.(zoo),perro pequeño que no es de raza,,,
kaki,unknown kind of animal (in the tales of Waruchiri),s.(zoo),especie de animal ya no conocida (en los cuentos de Huarochirí),,,
kakina,loom bars,s.(tex),barra del telar; barras del telar,kakina,kakina,
kaksaskancha,mountain range,s.(geo)(ecu),cordillera,,,
kaksaskuna,geographical events,s.(geo)(ecu),accidentes geográficos,,,
kaksasmuqu,mountain node,s.(geo)(ecu),nudos (de cordillera),,,
kaksasuyu pampa,Andean area,s.(geo)(ecu),area andina,,,
kaksay,to choke,v.pron.,atorarse,,,
kaku,uncle on mother's side; mother's brother,s.,tío materno; hermano de la madre,kaku,kaku,
kakuy,kind of night bird,s.(zoo),una variedad de ave nocturna,,,
kakuy,to stay; to remain; to live one's life,v.cop.,quedarse; permanecer; quedarse; quedar; vivir su vida,,,
kakyay,to belch; to burp,v.intr.,eructar; regoldar,,,
kala,kind of bird,s.(zoo),ave de los bañados (d.a.b.),,,
kalanka,bell,s.,campana,,,talanki; kalanka
kalastu,kind of tree,s.(bot),calasto; clasto; especie de árbol,kalastu,kalastu,
kalcha,"young trees moulded into living haylofts with the branches spreading out and up, like a cradle, like fingers on an out-stretched hand (most suitable species: mulli, thaqu, jarka, tikira - in the semi-arid valleys of Bolivia)",s.,"árboles jóvenes formados por la gente para que sean almacenes vivos, cuyas ramas se extienden hacia arriba y afuera (especies mejores: mulli, thaqu, jarka, tikira - en los valles semiáridos de Bolivia)",,,
kalchas,stirrup,s.,abajera (pieza del recado de montar),,,
kaldu,broth,s.(mik)(esp),caldo,,,
kali-kali waska,kind of liana of the jungle (main use: medicinal),s.(bot),calicali huasca; especie de liana de la selva (uso principal: medicina),,,
kalintura,fever,s.(med)(esp),fiebre,,,
kaliptuy,to plant eucaliptus,v.tr.,plantar eucaliptos,,,
kalistu,eucalyptus,s.(bot)(l.esp),eucalipto,kalistu,,
Kalka,city and province in the Department of Qosqo (Peru); (Span.) Calca,s.(top)(<?),ciudad y provincia en el departamento del Qosqo (Perú); (esp.) Calca,Kalka,Kalka,
kalkulay,to estimate; to calculate,v.tr.(esp),calcular; estimar,,,
kalsuna,trousers; pants,s.(tex)(1),pantalón,,,kalsuna; pantaluna
kalun,special stitch for joining panels,s.(tex),puntada especial para juntar paños,,,
Kalwaryu,Cross of Calvary: Southern Cross (provenience: Yucay),s.(ast)(esp),Cruz del Calvario: Cruz del Sur (proveniencia: Yucay),Kalwaryu,Kalwaryu,
Kalwaryu Krus,"Cross of Calvary: (a) head of Scorpio, (b) Betelgeuse, Rigel, Sirius, and Procyon, (c) Procyon, Castor, Belt of Orion, beta Tauri, (d) Belt of Orion, tau Orionis, and Rigel (provenience: Misminay, Sonqo)",s.(ast)(esp),"Cruz del Calvario: (a) cabeza del Escorpión, (b) Betelgeuse, Rigel, Sirius y Procyon, (c) Procyon, Castor, cordón de Orión, beta Tauri, (d) cordón de Orión, tau Orionis y Rigel (proveniencia: Misminay, Sonqo)",Kalwaryu Krus,Kalwaryu Krus,
kalla,fork,s.,horquilla,,,
kalla,kind of small parrot,s.(zoo),cotorra enana; cotorra muy pequeña,,,k'alla
kallanapaq tikray,to blacken,v.intr.,volverse negro,,,
kallanka,big building (palace),s.,edificio grande (palacio),kallanka,kallanka,
kallapu,beam for supporting soil on slopes in danger of slipping off to avoid landslips,s.,tronco para abovedar socavones y evitar derrumbe; callapo; horcón,,,
kallasqa,branch; twig,p.p.p.,rama,,,kallata; laymi
Kallawaya,"province of Antisuyu (now in Bolivia), whose inhabitants are crafty herbalists",s.(top),"provincia de Antisuyo (hoy: Bolivia), cuyos habitantes eran y siguen siendo hábiles herbolarios; (esp.) Callahuaya",,,
Kallawaya,renowned traveling healers from Bolivia,s.(tri),curanderos viajantes de Bolivia bien conocidos,Kallawaya,Kallawaya,
kallay,to be alone,v.intr.,estar sólo,,,
kallay,to rub,v.tr.,rallar,,,kallaña
kallchay,to harvest corn or beans; to reap; to mow,v.tr.,cosechar maíz o habas; formar gavillas erguidas; recoleccionar maíz; cosechar tallos; segar,kallchay,kallchay,
kallchay pacha,autumn,s.,otoño,kallchay pacha,kallchay pacha,
kalli,street,s.(esp),calle,kalli,kalli,kalli
kallihun,alleyway; alley,s.(esp),callejón,,,
kalli-kalli,white-eyed parakeet; kind of bird,s.(zoo)(amz),cotorra de ojos blancos; especie de ave,,,
kalliy,to bite,v.tr.,morder,,,
kallki,valley,s.(geo),valle; encañada; callejón,,,p'ujra uraqi
kallki,pedregal; lugar pedregoso,s.(geo)(2),stony place,kallki,kallki,
kallpa,strong,adj.,fuerte; vigoroso,kallpa,kallpa,
kallpa,hurry; strength; force; force; power; might,s.,prisa; apuro; fuerza; vigor; potencia; poder; vigor; fuerza vital; esfuerzo; energía; ñeque,kallpa,kallpa,ch'ama
kallpa,energy,s.(ass),energía,,,ch'ama
kallpachakuy,to make an effort; to try hard; to gain force; to regain force; to inspire oneself; to strive oneself; to exert oneself,v.intr.,esforzarse; cobrar fuerza a base de alimentos; recobrar fuerza; hacer fuerza; inspirarse; entrenar,kallpachakuy,kallpachakuy,
kallpachaq,nutrient,s.(bio),nutrientes,,,ch'amañchiri
kallpachaq,protein,s.(che),proteína,,,ch'amanchiri
kallpachariy,to comfort; to console,v.tr.,consolar,kallpachariy,kallpachariy,
kallpachasqa,physical,adj.,físico,,,phisiku; sayani
kallpachasqa,strong; brave; courageous,p.p.p.,fuerte; esforzado,kallpachasqa,kallpachasqa,
kallpachay,to encourage; to give strength; to encourage; to exercise; to strengthen; to enforce; to train; to inspire,v.tr.,dar fuerzas; alentar; fortalecer; vigorizar; inspirar; dar vigor; fortificar; dar fuerza; tonificar; enfatizar; entrenar,kallpachay,kallpachay,ch'amanchaña
kallpachay,to go bail for; to bond,v.tr.(ass),afianzar,,,
kallpachaynin,development,s.pr.,desarrollo,,,sarta; jilta; sartawi
"kallpakachaspa pukllay, kayman chayman",to frolic,v.mov.,retozar,,,
kallpamanay,despair; despondency; low spirits; depression,s.,desaliento; adinamia,kallpamanay,kallpamanay,
kallpamanay,to lose strength,v.intr.,perder las fuerzas,,,
kallpanaku,work,s.,trabajo,,,
kallpanakuy,athletics,s.(neo),atletismo,,,
kallpanchay,to ensure; to assure,v.tr.(ass),reforzar; fortalecer; vigorizar,,,
kallpannaq,strengthless; powerless; weak,adj.,sin fuerza; sin poder; débil,kallpannaq,kallpannaq,
kallpapisiy,to decay,v.intr.,descomponerse,kallpapisiy,kallpapisiy,
kallparuku,apostrophe (sign for glottal stop in Quechua and Aymara),s.(fon),apóstrofo (signo de oclusión glotal en quechua y aymara),kallparuku,kallparuku,
kallpasapa,vigorous; strong; brawny; stalwart; mighty; powerful,adj.,vigoroso; fornido; fortachón; fuerte; robusto; poderoso; forzudo; recio,kallpasapa,kallpasapa,
kallpawañuy,loss of strength,s.,pérdida de fuerzas; desgaste de fuerzas; adinamia,kallpawañuy,kallpawañuy,
kallpay,race,s.,corrida; carrera,,,
kallpay,to make an effort; to try hard,v.intr.,esforzarse; hacer fuerza; trabajar; forcejar; forcejear,,,
kallpay,to hurry; to run; to run about; to flee; to escape,v.mov.(1),correr; escapar; huir; trotar,,,
kallpay,to fly,v.mov.(2),volar,,,
kallpaylla,hurried; quickly,adv.m.,muy de prisa; corriendo,,,
kallpayllaña,hurried,adj.,muy de prisa,,,
kallpayuq,strong; vigorous; mighty; powerful,adj.,fuerte; forzudo; vigoroso; fornido; fortachón; poderoso; potente; ñeque,kallpayuq,kallpayoq,ch'amani
kallpi,piece,s.,pedazo,,,t'aqa
kallu,large piece of tissue,s.(tex),pieza larga de tejido,,,
kallwa,weaving sword; batten (of a loom); beater (for compacting weft); board to press the tissue together; batten; sword,s.(tex),apretador (para tejer); instrumento para ajustar el tejido; hueso con que tupen; hueso con que aprietan los hilos; hueso que aprieta mas; espada de tejedor; tabla de apretar; tabla con que aprietan lo que tejen,kallwa,kallwa,wichuña
kallwata sat'iy,"to turn weaving sword in shed (perpendicular to warps, to open shed)",v.tr.(tex),introducir la espada a la calada del telar (perpendicular a la urdimbre y la calada abierta),,,
kallway,to press tissue together beating with a board (weaving),v.tr.(tex),apretar a golpes el tejido,kallway,kallway,
kamachakuy,responsibility,s.,responsabilidad,,,aski luraña; yäni
kamachariy,to command,v.tr.,mandar; ordenar,kamachariy,kamachariy,
kamachi,service; law; servant,s.,servicio (de labor); ley; sujeto destinado al servicio personal; regla; decreto o disposición de dios; orden; mandato; ordenanza; mandados; regla (norma); disposición; mando; obligación,kamachi,kamachi,kamachi
kamachi kamay,administration,s.(pol),administración,,,
kamachikuna,laws,s.(pol),leyes,,,
kamachikunata alliyachi,legal reforms,s.,reformas legales,,,
kamachikunata ruray tantari,national congress; parliament,s.,congreso nacional; parlamento,,,
kamachikuq,authority,s.a.,autoridad,kamachikuq,kamachikuq,
kamachikusqa simi,commandment; law,s.,mandamiento; ley,,,
kamachikuy,commandment; mandate; order,s.,mandamiento; mandato; ordenanza; precepto,kamachikuy,kamachikuy,
kamachikuykuna,laws; legal norms,s.,leyes; normas legales,,,
kamachina,law,s.,ley,,,kamachita aru
kamachinakuy,meeting; gathering; consultation,s.,reunión; consulta del pueblo,kamachinakuy,kamachinakuy,
kamachinakuy,to agree,v.recip.,acordar (ponerse de acuerdo); acordar,kamachinakuy,kamachinakuy,
"kamachi paqtay, mañaqkuna",parties of a process,s.,"partes en un juicio, demanda",,,
kamachipayay,to order in an exaggerated and excessive way,v.tr.,mandar con demasía o exceso sin orden,kamachipayay,kamachipayay,
kamachiq,authority (person); authority; boss; congressman; ruler; leader; authority; boss; ruler; senator; creator,s.a.,autoridad (persona); gobernador; autoridad; el que ejerce mando; creador; potestad; jefe; mandatario; preceptor,kamachiq,kamachiq,kamachiri
kamachiq atiy,legislative power,s.(pol),poder legislativo,,,
kamachiqkuna,authorities,s.,autoridades,,,
kamachiq wasi,supreme court,s.(pol),corte superior de justicia; palacio,,,
kamachisqa,commandment; law,s.,mandamiento; ley,,,
kamachisqa kay,obligation,s.,obligación,,,juchaña; kamachita
kamachita alli paktay,due process,s.,debido proceso,,,
kamachiy,order; law; law; rule,s.,ordenanza; ley; consigna; norma,kamachiy,kamachiy,iwxa
kamachiy,to order; to command; to dictate; to govern; to order; to reign; to rule,v.tr.,adaptar; mandar; ordenar; encargar; disponer; administrar; gobernar; regir; decretar; dictar decretos; encomendar; obligar,kamachiy,kamachiy,
kamachiykuna,commands,s.,órdenes,kamachiykuna,kamachiykuna,
kamachiyniyuq,authority,s.,autoridad,kamachiyniyuq,kamachiyniyoq,
kamachiyniyuqkuna,authority,s.,autoridad,kamachiyniyuqkuna,kamachiyniyoqkuna,
kamachiy qillqa,instructive text,s.,texto instructivo,,,kamachi qillqa
kamakay,hygiene,s.(neo),higiene,,,
kamakay,to end,v.tr.,acabar; terminar,,,
kamakuy,faculty,s.(neo),facultad,,,
kamalunka,kind of medicinal plant of the jungle,s.(bot)(amz),camalonga; especie de planta medicinal de la selva,,,
kamallay,adequate; fitting one's nature; conforming to one's talent,adj.,proporcionado; propio al natural de uno; que conforme a su talento,kamallay,kamallay,
kamalliy,to entrust; to recommend,v.tr.,confiar en resguardo; dar en custodia; recomendar,kamalliy,kamalliy,
kamana,law,s.,ley,,,
kamanayay,caution; precaution,s.,precaución,,,
kamani,worthy,adj.,digno,,,kamani
kamapayay,to promise,v.tr.,prometer,,,aru churaña
kamaq,administrator; manager,s.(ass),administrador; hacedor; creador,kamaq,kamaq,
kamaq,lord; creator; founder; god,s.a.,soberano; dueño; dios; creador; fundador; inventor; el que crea,kamaq,kamaq,
kamaqsiki,masterful; domineering; imperious,adj.,mandón,,,
kamarayay,to appear at distance (an object),v.mov.,aparecer un objeto a la distancia,,,
kamari,present; gift,s.(1),regalo; obsequio (de alguna cosa); dedicación (regalo); ofrenda,,,
kamari,organization,s.(2),organización,kamari,kamari,
kamarikusqa,foundation,s.,fundación,kamarikusqa,kamarikusqa,
kamarikuy,decision,s.,decisión,kamarikuy,kamarikuy,
kamarikuy,to decide,v.tr.,decidir,kamarikuy,kamarikuy,
kamariq,creative (person),adj.,creativo (persona),,,ch'ikhi
kamarisqa,creative (product),adj.,creativo (producto),,,ch'ikhi
kamarisqa,ready,p.p.p.,listo; dispuesto; pronto,kamarisqa,kamarisqa,
kamariy,creativeness,s.,creática; creatividad,,,uñstaya
kamariy,to found; to plan; to prepare,v.tr.(1),fundar; preparar; proyectar; acomodar; disponer; prevenir,kamariy,kamariy,
kamariy,to give a present,v.tr.(2),regalar,,,
kamariy,to create,v.tr.(3),crear,,,
kamar qillqa,newspaper,s.(neo),periódico,,,jana yatiyawi
kamasqa,authorized; regulation; rule,p.p.p.,facultado; autorizado; reglamento,,,kamachi
kamasqa,unique type of fourth-level priest who receives Kuraq Akulliq initiation (fourth level) directly from God or Wiraqocha,s.,tipo único de sacerdote del cuarto nivel recibiendo su iniciación Kuraq Akulliq directamente de Dios o de Wiraqocha,kamasqa,kamasqa,
kamasqata ruraq,obedient,s.a.,obediente,,,
kamasqata ruray,to obey,v.tr.,obedecer,,,
kamatala,kind of tree,s.(bot),una variedad de árbol (d.a.b.),,,
kamay,creation; to owe; formation; literature; obligation; principle,s.(9),creación; deber; formación; literatura; obligación; principio,,,uñstayawi; inuqawi; luraña; phuqhaña; utt'ayawi; siqicht'asiña; qillqa sara; juchaña; kamachita; amta; qalta
kamay,voluntary fulfillment of a public obligation,s.(his),cumplimiento voluntario de la obligación social,kamay,kamay,
kamay,administration; government,s.(pol),administración; gobierno,,,
kamay,to create; to found; to form; to order; to govern; to command; to rule; to reign; to grasp; to take hold of; to prove,v.tr.,crear; inventar; modelar; formar; fundar; dominar; reinar; caber; gobernar; mandar; disponer; proveer; cuidar; administrar; gobernar; alcanzar (caber); contener; probar; intentar; ordenar; producir,kamay,kamay,inuqaña; unstayaña; apst'aña
kamay,to administer; to manage,v.tr.(ass),administrar; gobernar,,,
kamay,to prepare,v.tr.(mik),preparar,,,
kamaychalli,industry,s.(neo),industria,,,
kamaychalliku,industrialization,s.(neo),industrialización,,,mayjakiptayawi
kamaychalliy,to industrialize,v.tr.(neo),industrializar,,,mayjaptayaña
kamaychay,to assign a task,v.tr.,asignar una tarea,kamaychay,kamaychay,
kamay killa,"January; January (in the Inka era: Time of fiest of creation, month of rest. Sacrifices, processions, fasting and penitences for local deities (wak'as) were also made)",s.(mes),"enero; enero (en la era de los Inkas: Tiempo de festejo de la creación, mes del descanso. Pero también se hacían sacrificios, procesiones, ayunos y penitencias para las divinidades locales en lugares considerados sagrados (huacas))",kamay killa,kamay killa,kamay phaxsi
kamayku,evaluation,s.,evaluación,,,
kamaykurina,to evaluate oneself,v.intr.,auto evaluar,,,
kamaykuy,to inspire (not inhale),v.tr.(1),inspirar (no inhalar); infundir,kamaykuy,kamaykuy,
kamaykuy,to evaluate,v.tr.(2),evaluar,,,
kamayniypa chayaqin,adequate; fitting one's nature; conforming to one's talent,adj.,proporcionado; propio al natural de uno; que conforme a su talento,kamayniypa chayaqin,kamayniypa chayaqen,
kamay paqtachi atiy,judicial power; jurisdiction,s.(pol),poder judicial,,,
kamay raymi,fiest of creation in Inka times (in January),s.(mes),festejo de la creación en el tiempo Inka (en enero),kamay raymi,kamay raymi,
kamayuq,responsible; specialist,adj.,responsable; especialista,kamayuq,kamayoq,
kamayuq,guard; watchman; spokesman; specialist; manager,s.,guarda; vigilante; portavoz; dueño de cuidar; especialista; funcionario,kamayuq,kamayoq,
kamayuq,office,s.(pol),oficio,,,lurawi
kamay yachaywan mich'aq,lawyer,s.(ass),abogado,,,
kambiyay,to change; to exchange,v.tr.(esp),cambiar; trocar; reemplazar,kambiyay,kambiyay,
kambiyu,change; exchange,s.(esp),cambio; vuelto de dinero,kambiyu,kambiyu,
kamcha,toasted corn,s.,maíz tostado; cancha; grano tostado,,,
kamchay,to toast; to roast,v.tr.,tostar,,,
kamilu,stew,s.,puchero,,,chhamilliku
kaminu,road; way; path; street; road; path; trail; street; road; street,s.(esp),camino; senda; vía; sendero; senda; via; ruta; trocha,,,thakhi
kamisa,shirt,s.(esp),camisa,,,
kamkachiy,to arrange; to put into order,v.tr.,arreglar,,,
Kampa,"Campa, Ashaninka (indigenous people, Peru)",s.(tri)(1),"indígena Campa, Asháninka (Perú)",Kampa,Kampa,
Kampa,person from Santa Cruz (Bolivia) - also camba,s.(tri)(2),persona de Santa Cruz (Bolivia),,,
kampana,bell,s.(esp),campana,,,
kampana ayawaska,kind of medicinal plant of the jungle,s.(bot)(p.esp),campana ayahuasca; especie de planta medicinal de la selva,,,
kampi,cambi; kind of plant of the jungle (main use: food),s.(bot),cacao del monte; especie de planta de la selva (uso principal: alimento),,,
kampichana,person who does it with everyone,s.(amz),persona que se da con todos,,,
kampu,field,s.(esp),campo; lugar relativamente espacioso y despejado,,,
kampuchay,to clear a place,v.tr.(esp),despejar un lugar; hacer campo,,,
kamu,book,s.(neo),libro,,,
kamu-kamu,"rumberry; kind of medicinal plant, main uses: colds, flu, vitamin c, potassium",s.(bot)(amz),"camu-camu; especie de planta medicinal, usos principales: catarro, gripe, vitamin C, potasio; camucamu",,,
kamukana,insipid,adj.,sabor blando,,,
kamukuska,library,s.(neo),biblioteca,,,
kamunku,horned screamer; kind of bird,s.(zoo)(amz),camungo; especie de ave,,,
kamuti,sweet potato; camote,s.(bot)(esp<naw),camote,,,
kamuy,to stay at a place for some time,v.intr.,quedarse o detenerse en el lugar por algun tiempo,,,
kamuyachiq,printing works; printery,s.(neo),imprenta,,,
kan,... is; there is,f.v.aux.,es; está; hay,kan,kan,
kanallan,immediately; at once; soon,adv.t.,ahora mismo; recién (ahora),,,
kanan,pertinent,adj.,pertinente,,,vvakisiri
kanan,now; today; then,adv.t.,en seguida; luego; ahora; hoy,,,
kanana,furnace,s.,horno,,,jurnu
kanankama,till now; till today,adv.t.,hasta ahora; hasta hoy,,,
kananmanta,from now,adv.t.,desde ahora; en adelante,,,
kananpuni,useful,adj.,útil,,,yäni
kanan p'unchaw,today,adv.t.,hoy,,,
kanasta,basket,s.(esp),canasta,,,
kanatallam,the just; that ist to be; convenient,expr.,lo justo; lo que es de ser; conveniente,,,
kanay,power of becoming,s.(spi),poder ontico o de llegar a ser,kanay,kanay,
kancha,outside,adv.l.,afuera,,,
kancha,court; palace; patio; corral; public space; square; market area; enclosed courtyard or garden,s.(1),patio; cancha; corral; lugar descampado; canchón; espacio cercado; espacio abierto; mercado abierto; recinto sagrado; palacio; estancia; redil; cancha de fútbol u otra; cerco; cerca; plaza,kancha,kancha,ayu
kancha,skin mycosis,s.(2),micosis cutánea; corralón; patio; cerco (el area),kancha,kancha,
kancha,herd; flock; group,s.(3),rebaño; grupo; manada,,,
kancha,instep,s.(ana),empeine,,,kayu pata
kancha chani kamay,statistics,s.(mat),estadística,,,
kancha chani milka,statistic table,s.(mat),cuadro estadístico,,,
kancha chani suyu,statistic graph; chart,s.(mat),gráfico estadístico,,,
kanchachay,to build round a place; to build a court,v.tr.,cercar un espacio; formar un recinto,,,
kanchaman,out,adv.l.,hacia fuera,,,
kanchapi,outside,adv.l.,afuera; fuera,,,
kancha suti,collective noun,s.(gra),sustantivo colectivo,,,
kanchay,to surround; to build around,v.tr.,cercar; cercar un espacio; formar un recinto; encorralar,kanchay,kanchay,
kanchayasqa,convex,adj.,convexo,,,
kanchik,we are (incl.),f.v.aux.,somos (incl.); estamos (incl.),kanchis; kanchiq,kanchis; kancheq,
kanchiru,experienced; office-experienced,adj.,experimentado; conocedor del oficio; persona experimentada en alguna actividad,,,
kanchu,unknown kind of bird (in the tales of Waruchiri),s.(zoo),especie de pájaro ya no conocida (en los cuentos de Huarochirí),,,
kandadu,padlock; bracelet; bracelet; bracelet (usually of gold),s.(esp),candado,,,
kangu,twangy,adj.(esp),gangoso,,,
kani,I am,f.v.aux.,soy; estoy,kani,kani,
kanichikuy,to have oneself bitten,v.intr.,hacerse morder,,,
kanikuy,to bark,v.dic.,ladrar,kanikuy,kanikuy,
kanililla,kind of medicinal plant of the jungle,s.(bot)(esp),canelilla; especie de planta medicinal de la selva,,,
kaninanay,to gnash one's teeth,v.intr.,rechinar los dientes,,,
kanipu,silver plate for the forehead (sign of the Inka nobility),s.(his),plancha de plata para la frente (señal de los nobles),kanipu,kanipu,
kaniq,biter,adj.,mordedor,kaniq,kaniq,
kaniriy,to remorse,v.intr.,remorderse alguna cosa,,,
kanisqa,bitten,p.p.p.,mordido,,,achurata; achjata
kaniy,bite,s.,mordisco; tarascón,,,
kaniy,to bark,v.dic.,ladrar,kaniy,kaniy,
kaniy,to bite; to sting,v.tr.,morder; dentellar; picar (insecto); picar; picotear,kaniy,kaniy,achuraña; acharaña; achjaña; achuqaña; amuña; aniña; kaniña; p'ataña; pat'aña; turut'aña
kanka,toasted; roast,adj.,asado; tostado,,,kanka
kanka,roast; roasted meat; roast meat,s.(mik),asado; carne asada; churrasco; carne asada; asadura,kanka,kanka,
kankakuy,to roast oneself,v.intr.,asarse,,,kankasiña
kankana,frying pan,s.,sartén; parrila para asar; asador; parrilla,kankana,kankana,
kankay,to roast; to bake (in flame); to grill; to cook; to bake; to roast; to roast,v.tr.,asar; tostar; hacer asado por acción del fuego,kankay,kankay,jamp'iña
kanki,you are (singular),f.v.aux.,eres; estás,kanki,kanki,
kankichik,you are (plural),f.v.aux.,sois; estáis,kankichis; kankichiq,kankichis; kankicheq,
kankil,popcorn,s.(mik),especie de maíz fino; palomitas de maíz,,,
kankiq,hip,s.(ana),cadera,,,
kanku,they are,f.v.aux.,son; están,kanku,kanku,
kanllayay,external,adj.,externo,,,
kanlli,kind of shrub; type of sagebrush,s.(bot),especie de arbusto usado como medicina diurética; planta medicinal para tos; hormiga roja,kanlli,kanlli,
kanman,would be,f.v.aux.,sería,,,
kanqa,will be,f.v.aux.,será,,,
kansir,cancer,s.(esp),cáncer,,,
kansiryay,to get cancer; to become cancerous,v.intr.(esp),crecer un cáncer,,,
kantana,song,s.(mus)(esp),canción,,,
kantaray killa,October,s.(mes),octubre,kantarayki killa; kantaray killa; kantaray,kantarayki killa; kantaray killa; kantaray,phitiña; satawi laphaqa
kantay,to sing,v.tr.(esp),cantar,,,
